balls_faced,runs_scored,dismissals,strike_rate,batting_avg,balls_bowled,runs_conceded,wickets,economy,bowling_avg,player_name
17.0,21.0,2.0,123.52941176470588,10.5,12.0,16.0,0.0,8.0,16.0,Umair Ali
826.0,1025.0,42.0,124.09200968523002,24.404761904761905,,,,8.0,30.0,Umar Akmal
122.0,141.0,9.0,115.57377049180329,15.666666666666666,,,,8.0,30.0,Umar Amin
71.0,74.0,8.0,104.22535211267605,9.25,485.0,665.0,39.0,8.22680412371134,17.05128205128205,Umar Gul
2.0,5.0,0.0,250.0,5.0,139.0,227.0,13.0,9.798561151079138,17.46153846153846,Umran Malik
7.0,7.0,3.0,100.0,2.3333333333333335,120.0,172.0,5.0,8.6,34.4,Usama Mir
193.0,236.0,16.0,122.27979274611398,14.75,,,,8.0,30.0,Usman Khan
41.0,53.0,2.0,129.26829268292684,26.5,,,,8.0,30.0,Usman Limbada
24.0,13.0,1.0,54.166666666666664,13.0,,,,8.0,30.0,Usman Mushtaq
27.0,31.0,4.0,114.81481481481481,7.75,408.0,551.0,29.0,8.102941176470589,19.0,Usman Qadir
3.0,2.0,0.0,66.66666666666666,2.0,276.0,380.0,15.0,8.26086956521739,25.333333333333332,Usman Shinwari
490.0,548.0,20.0,111.83673469387756,27.4,,,,8.0,30.0,V Aravind
2824.0,3857.0,80.0,136.57932011331445,48.2125,118.0,166.0,3.0,8.440677966101696,55.333333333333336,V Kohli
,,,120.0,25.0,3.0,6.0,0.0,12.0,6.0,V Permaul
57.0,73.0,4.0,128.0701754385965,18.25,,,,8.0,30.0,V Sehwag
73.0,101.0,4.0,138.35616438356163,25.25,126.0,181.0,7.0,8.619047619047619,25.857142857142858,V Shankar
13.0,11.0,2.0,84.61538461538461,5.5,,,,8.0,30.0,V Shetty
409.0,424.0,21.0,103.66748166259168,20.19047619047619,,,,8.0,30.0,V Sibanda
29.0,28.0,2.0,96.55172413793103,14.0,6.0,4.0,1.0,4.0,4.0,V Sukumaran
17.0,9.0,2.0,52.94117647058824,4.5,392.0,456.0,20.0,6.979591836734693,22.8,VJ Kingma
3.0,1.0,0.0,33.33333333333333,1.0,42.0,61.0,3.0,8.714285714285714,20.333333333333332,VM Nyauchi
82.0,133.0,4.0,162.19512195121953,33.25,55.0,74.0,6.0,8.072727272727272,12.333333333333334,VR Iyer
